"Juvenile Intake Cases by Race, FY 2018-2020*",,,,,,,,,,,,,,,,,,,,,
CSU,FIPS,RACE,FY18 %,FY19 %,FY20 %,FY18 #,FY19 #,FY20 #,,,,,,,,,,,,,
1,550,Asian,0.6%,1.3%,1.4%,5,11,9,,"* During FY 2018, Bland County (FIPS 021) and Giles County (FIPS 071) were part of CSU 29. Effective in FY 2019, these localities are part of CSU 27 and all data is presented under CSU 27.",,,,,,,,,,,
1,550,Black,54.2%,57.8%,57.9%,493,481,369,,,,,,,,,,,,,
1,550,White,39.6%,35.8%,36.3%,360,298,231,,,,,,,,,,,,,
1,550,Other/Unknown,5.6%,5.0%,4.4%,51,42,28,,,,,,,,,,,,,
2,810,Asian,1.9%,1.7%,2.2%,25,21,25,,,,,,,,,,,,,
2,810,Black,49.0%,45.3%,49.5%,653,554,573,,,,,,,,,,,,,
2,810,White,43.9%,40.4%,41.8%,586,494,484,,,,,,,,,,,,,
2,810,Other/Unknown,5.2%,12.5%,6.6%,70,153,76,,,,,,,,,,,,,
2A,001,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
2A,001,Black,39.1%,36.9%,53.4%,52,55,62,,,,,,,,,,,,,
2A,001,White,28.6%,35.6%,28.4%,38,53,33,,,,,,,,,,,,,
2A,001,Other/Unknown,32.3%,27.5%,18.1%,43,41,21,,,,,,,,,,,,,
2A,131,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
2A,131,Black,49.5%,58.6%,65.4%,48,58,53,,,,,,,,,,,,,
2A,131,White,33.0%,34.3%,29.6%,32,34,24,,,,,,,,,,,,,
2A,131,Other/Unknown,17.5%,7.1%,4.9%,17,7,4,,,,,,,,,,,,,
3,740,Asian,0.3%,0.0%,0.2%,2,0,1,,,,,,,,,,,,,
3,740,Black,86.6%,84.2%,83.9%,502,373,454,,,,,,,,,,,,,
3,740,White,11.9%,13.8%,12.9%,69,61,70,,,,,,,,,,,,,
3,740,Other/Unknown,1.2%,2.0%,3.0%,7,9,16,,,,,,,,,,,,,
4,710,Asian,0.6%,0.3%,0.8%,13,3,9,,,,,,,,,,,,,
4,710,Black,73.8%,71.6%,73.5%,"1,637",830,844,,,,,,,,,,,,,
4,710,White,16.9%,21.5%,20.1%,374,249,231,,,,,,,,,,,,,
4,710,Other/Unknown,8.8%,6.7%,5.7%,195,78,65,,,,,,,,,,,,,
5,093,Asian,0.0%,1.4%,2.1%,0,1,1,,,,,,,,,,,,,
5,093,Black,47.6%,47.2%,44.7%,39,34,21,,,,,,,,,,,,,
5,093,White,46.3%,47.2%,42.6%,38,34,20,,,,,,,,,,,,,
5,093,Other/Unknown,6.1%,4.2%,10.6%,5,3,5,,,,,,,,,,,,,
5,175,Asian,0.0%,0.0%,2.3%,0,0,1,,,,,,,,,,,,,
5,175,Black,59.3%,60.0%,53.5%,16,24,23,,,,,,,,,,,,,
5,175,White,33.3%,37.5%,41.9%,9,15,18,,,,,,,,,,,,,
5,175,Other/Unknown,7.4%,2.5%,2.3%,2,1,1,,,,,,,,,,,,,
5,620,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
5,620,Black,81.4%,88.1%,89.5%,35,37,17,,,,,,,,,,,,,
5,620,White,7.0%,9.5%,10.5%,3,4,2,,,,,,,,,,,,,
5,620,Other/Unknown,11.6%,2.4%,0.0%,5,1,0,,,,,,,,,,,,,
5,800,Asian,0.0%,0.0%,0.3%,0,0,1,,,,,,,,,,,,,
5,800,Black,77.4%,78.2%,83.3%,267,297,314,,,,,,,,,,,,,
5,800,White,21.2%,17.6%,15.4%,73,67,58,,,,,,,,,,,,,
5,800,Other/Unknown,1.4%,4.2%,1.1%,5,16,4,,,,,,,,,,,,,
6,025,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
6,025,Black,78.7%,70.6%,65.4%,37,24,17,,,,,,,,,,,,,
6,025,White,21.3%,17.6%,19.2%,10,6,5,,,,,,,,,,,,,
6,025,Other/Unknown,0.0%,11.8%,15.4%,0,4,4,,,,,,,,,,,,,
6,081,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
6,081,Black,78.9%,77.8%,69.6%,45,28,16,,,,,,,,,,,,,
6,081,White,14.0%,19.4%,17.4%,8,7,4,,,,,,,,,,,,,
6,081,Other/Unknown,7.0%,2.8%,13.0%,4,1,3,,,,,,,,,,,,,
6,149,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
6,149,Black,44.9%,58.3%,49.2%,53,67,32,,,,,,,,,,,,,
6,149,White,50.8%,41.7%,50.8%,60,48,33,,,,,,,,,,,,,
6,149,Other/Unknown,4.2%,0.0%,0.0%,5,0,0,,,,,,,,,,,,,
6,181,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
6,181,Black,69.2%,81.8%,100.0%,9,9,2,,,,,,,,,,,,,
6,181,White,30.8%,18.2%,0.0%,4,2,0,,,,,,,,,,,,,
6,181,Other/Unknown,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
6,183,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
6,183,Black,69.7%,58.3%,75.0%,23,21,15,,,,,,,,,,,,,
6,183,White,24.2%,27.8%,15.0%,8,10,3,,,,,,,,,,,,,
6,183,Other/Unknown,6.1%,13.9%,10.0%,2,5,2,,,,,,,,,,,,,
6,595,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
6,595,Black,86.7%,89.7%,89.1%,65,52,49,,,,,,,,,,,,,
6,595,White,9.3%,6.9%,1.8%,7,4,1,,,,,,,,,,,,,
6,595,Other/Unknown,4.0%,3.4%,9.1%,3,2,5,,,,,,,,,,,,,
6,670,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
6,670,Black,68.4%,67.4%,79.7%,162,159,161,,,,,,,,,,,,,
6,670,White,22.8%,27.5%,15.3%,54,65,31,,,,,,,,,,,,,
6,670,Other/Unknown,8.9%,5.1%,5.0%,21,12,10,,,,,,,,,,,,,
7,700,Asian,0.8%,0.5%,0.9%,11,6,11,,,,,,,,,,,,,
7,700,Black,64.7%,66.1%,63.2%,941,875,779,,,,,,,,,,,,,
7,700,White,28.0%,26.1%,25.5%,408,346,315,,,,,,,,,,,,,
7,700,Other/Unknown,6.5%,7.3%,10.4%,95,97,128,,,,,,,,,,,,,
8,650,Asian,0.7%,0.2%,0.3%,7,2,2,,,,,,,,,,,,,
8,650,Black,74.8%,73.8%,79.5%,778,680,499,,,,,,,,,,,,,
8,650,White,14.6%,13.6%,11.3%,152,125,71,,,,,,,,,,,,,
8,650,Other/Unknown,9.9%,12.5%,8.9%,103,115,56,,,,,,,,,,,,,
9,036,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
9,036,Black,41.7%,80.0%,9.1%,5,4,1,,,,,,,,,,,,,
9,036,White,50.0%,20.0%,90.9%,6,1,10,,,,,,,,,,,,,
9,036,Other/Unknown,8.3%,0.0%,0.0%,1,0,0,,,,,,,,,,,,,
9,073,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
9,073,Black,9.8%,12.7%,10.0%,15,10,10,,,,,,,,,,,,,
9,073,White,83.0%,79.7%,78.0%,127,63,78,,,,,,,,,,,,,
9,073,Other/Unknown,7.2%,7.6%,12.0%,11,6,12,,,,,,,,,,,,,
9,095,Asian,0.0%,0.3%,0.4%,0,1,1,,,,,,,,,,,,,
