ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2018,"2018",0,"Total",139300,16667,"Census Tract 6101.01, Loudoun County, VA","14000US51107610101"
2018,"2018",0,"Total",131875,15415.000000000002,"Census Tract 6101.02, Loudoun County, VA","14000US51107610102"
2018,"2018",0,"Total",148032,6000,"Census Tract 6102.01, Loudoun County, VA","14000US51107610201"
2018,"2018",0,"Total",143679,12910,"Census Tract 6102.02, Loudoun County, VA","14000US51107610202"
2018,"2018",0,"Total",169167,40003,"Census Tract 6103, Loudoun County, VA","14000US51107610300"
2018,"2018",0,"Total",135928,7969.000000000001,"Census Tract 6104, Loudoun County, VA","14000US51107610400"
2018,"2018",0,"Total",159148,9296,"Census Tract 6105.03, Loudoun County, VA","14000US51107610503"
2018,"2018",0,"Total",109583,10343,"Census Tract 6105.04, Loudoun County, VA","14000US51107610504"
2018,"2018",0,"Total",44605,9046,"Census Tract 6105.05, Loudoun County, VA","14000US51107610505"
2018,"2018",0,"Total",120369,19912,"Census Tract 6105.06, Loudoun County, VA","14000US51107610506"
2018,"2018",0,"Total",178086,17565,"Census Tract 6105.07, Loudoun County, VA","14000US51107610507"
2018,"2018",0,"Total",140938,18076,"Census Tract 6106.01, Loudoun County, VA","14000US51107610601"
2018,"2018",0,"Total",194125,24170,"Census Tract 6106.02, Loudoun County, VA","14000US51107610602"
2018,"2018",0,"Total",62727,12930,"Census Tract 6106.03, Loudoun County, VA","14000US51107610603"
2018,"2018",0,"Total",134928,18677,"Census Tract 6106.04, Loudoun County, VA","14000US51107610604"
2018,"2018",0,"Total",147361,18362,"Census Tract 6107.01, Loudoun County, VA","14000US51107610701"
2018,"2018",0,"Total",133061,7510,"Census Tract 6107.02, Loudoun County, VA","14000US51107610702"
2018,"2018",0,"Total",152500,15587,"Census Tract 6107.03, Loudoun County, VA","14000US51107610703"
2018,"2018",0,"Total",139017,23936,"Census Tract 6108, Loudoun County, VA","14000US51107610800"
2018,"2018",0,"Total",80104,34124,"Census Tract 6109, Loudoun County, VA","14000US51107610900"
2018,"2018",0,"Total",85192,8187,"Census Tract 6110.02, Loudoun County, VA","14000US51107611002"
2018,"2018",0,"Total",144821,8367,"Census Tract 6110.04, Loudoun County, VA","14000US51107611004"
2018,"2018",0,"Total",136757,11609,"Census Tract 6110.05, Loudoun County, VA","14000US51107611005"
2018,"2018",0,"Total",153194,12456,"Census Tract 6110.06, Loudoun County, VA","14000US51107611006"
2018,"2018",0,"Total",207300,13026,"Census Tract 6110.09, Loudoun County, VA","14000US51107611009"
2018,"2018",0,"Total",60288,13533,"Census Tract 6110.10, Loudoun County, VA","14000US51107611010"
2018,"2018",0,"Total",105417,13540,"Census Tract 6110.11, Loudoun County, VA","14000US51107611011"
2018,"2018",0,"Total",209271,27788,"Census Tract 6110.12, Loudoun County, VA","14000US51107611012"
2018,"2018",0,"Total",158466,23036,"Census Tract 6110.13, Loudoun County, VA","14000US51107611013"
2018,"2018",0,"Total",124464,15146.999999999998,"Census Tract 6110.14, Loudoun County, VA","14000US51107611014"
2018,"2018",0,"Total",109420,19443,"Census Tract 6110.15, Loudoun County, VA","14000US51107611015"
2018,"2018",0,"Total",112038,13819,"Census Tract 6110.16, Loudoun County, VA","14000US51107611016"
2018,"2018",0,"Total",111447,17622,"Census Tract 6110.17, Loudoun County, VA","14000US51107611017"
2018,"2018",0,"Total",74931,10796,"Census Tract 6110.18, Loudoun County, VA","14000US51107611018"
2018,"2018",0,"Total",185313,17078,"Census Tract 6110.19, Loudoun County, VA","14000US51107611019"
2018,"2018",0,"Total",103295,11075,"Census Tract 6110.20, Loudoun County, VA","14000US51107611020"
2018,"2018",0,"Total",133056,11072,"Census Tract 6110.21, Loudoun County, VA","14000US51107611021"
2018,"2018",0,"Total",171250,17373,"Census Tract 6110.22, Loudoun County, VA","14000US51107611022"
2018,"2018",0,"Total",188081,11217,"Census Tract 6110.23, Loudoun County, VA","14000US51107611023"
2018,"2018",0,"Total",229033,13100,"Census Tract 6110.24, Loudoun County, VA","14000US51107611024"
2018,"2018",0,"Total",161458,14727.000000000002,"Census Tract 6110.25, Loudoun County, VA","14000US51107611025"
2018,"2018",0,"Total",97434,10222,"Census Tract 6111.01, Loudoun County, VA","14000US51107611101"
2018,"2018",0,"Total",150292,19675,"Census Tract 6111.02, Loudoun County, VA","14000US51107611102"
2018,"2018",0,"Total",148090,16199,"Census Tract 6112.02, Loudoun County, VA","14000US51107611202"
2018,"2018",0,"Total",91179,8001,"Census Tract 6112.04, Loudoun County, VA","14000US51107611204"
2018,"2018",0,"Total",117073,6935.000000000001,"Census Tract 6112.05, Loudoun County, VA","14000US51107611205"
2018,"2018",0,"Total",125977,10737,"Census Tract 6112.06, Loudoun County, VA","14000US51107611206"
2018,"2018",0,"Total",152025,7956.999999999999,"Census Tract 6112.07, Loudoun County, VA","14000US51107611207"
2018,"2018",0,"Total",187778,16937,"Census Tract 6112.08, Loudoun County, VA","14000US51107611208"
2018,"2018",0,"Total",157981,11034,"Census Tract 6112.09, Loudoun County, VA","14000US51107611209"
2018,"2018",0,"Total",113558,13087,"Census Tract 6113, Loudoun County, VA","14000US51107611300"
2018,"2018",0,"Total",97236,16883,"Census Tract 6114, Loudoun County, VA","14000US51107611400"
2018,"2018",0,"Total",66678,9280,"Census Tract 6115.01, Loudoun County, VA","14000US51107611501"
2018,"2018",0,"Total",106978,11137,"Census Tract 6115.02, Loudoun County, VA","14000US51107611502"
2018,"2018",0,"Total",101220,11863,"Census Tract 6116.01, Loudoun County, VA","14000US51107611601"
2018,"2018",0,"Total",68750,14425,"Census Tract 6116.02, Loudoun County, VA","14000US51107611602"
2018,"2018",0,"Total",98140,14705,"Census Tract 6117, Loudoun County, VA","14000US51107611700"
2018,"2018",0,"Total",126970,15352,"Census Tract 6118.01, Loudoun County, VA","14000US51107611801"
2018,"2018",0,"Total",148327,13307,"Census Tract 6118.02, Loudoun County, VA","14000US51107611802"
2018,"2018",0,"Total",152969,12483,"Census Tract 6118.03, Loudoun County, VA","14000US51107611803"
2018,"2018",0,"Total",157309,12249,"Census Tract 6118.04, Loudoun County, VA","14000US51107611804"
2018,"2018",0,"Total",162500,17903,"Census Tract 6118.05, Loudoun County, VA","14000US51107611805"
2018,"2018",0,"Total",173112,9522,"Census Tract 6118.06, Loudoun County, VA","14000US51107611806"
2018,"2018",0,"Total",191012,18714,"Census Tract 6119, Loudoun County, VA","14000US51107611900"
2017,"2017",0,"Total",136250,20866,"Census Tract 6101.01, Loudoun County, VA","14000US51107610101"
2017,"2017",0,"Total",122375,17368,"Census Tract 6101.02, Loudoun County, VA","14000US51107610102"
2017,"2017",0,"Total",142845,7788,"Census Tract 6102.01, Loudoun County, VA","14000US51107610201"
2017,"2017",0,"Total",141591,14194.999999999998,"Census Tract 6102.02, Loudoun County, VA","14000US51107610202"
2017,"2017",0,"Total",171419,33677,"Census Tract 6103, Loudoun County, VA","14000US51107610300"
