"Juvenile Intake Cases by Ethnicity, FY 2018-2020*",,,,,,,,,,,,,,,,,,
CSU,FIPS,ETHNICITY,FY18 %,FY19 %,FY20 %,FY18 #,FY19 #,FY20 #,,,,,,,,,,
1,550,Hispanic,3.3%,3.7%,5.5%,30,31,35,,"* During FY 2018, Bland County (FIPS 021) and Giles County (FIPS 071) were part of CSU 29. Effective in FY 2019, these localities are part of CSU 27 and all data is presented under CSU 27.",,,,,,,,
1,550,Non-Hispanic,27.1%,37.0%,64.5%,246,308,411,,,,,,,,,,
1,550,Unknown/Missing,69.6%,59.3%,30.0%,633,493,191,,,,,,,,,,
2,810,Hispanic,3.7%,4.3%,4.5%,49,53,52,,,,,,,,,,
2,810,Non-Hispanic,55.5%,52.2%,72.9%,741,638,844,,,,,,,,,,
2,810,Unknown/Missing,40.8%,43.5%,22.6%,544,531,262,,,,,,,,,,
2A,001,Hispanic,3.0%,6.7%,6.9%,4,10,8,,,,,,,,,,
2A,001,Non-Hispanic,37.6%,45.6%,86.2%,50,68,100,,,,,,,,,,
2A,001,Unknown/Missing,59.4%,47.7%,6.9%,79,71,8,,,,,,,,,,
2A,131,Hispanic,6.2%,10.1%,11.1%,6,10,9,,,,,,,,,,
2A,131,Non-Hispanic,53.6%,57.6%,80.2%,52,57,65,,,,,,,,,,
2A,131,Unknown/Missing,40.2%,32.3%,8.6%,39,32,7,,,,,,,,,,
3,740,Hispanic,0.3%,2.9%,3.1%,2,13,17,,,,,,,,,,
3,740,Non-Hispanic,29.7%,32.7%,50.6%,172,145,274,,,,,,,,,,
3,740,Unknown/Missing,70.0%,64.3%,46.2%,406,285,250,,,,,,,,,,
4,710,Hispanic,4.1%,4.2%,4.7%,91,49,54,,,,,,,,,,
4,710,Non-Hispanic,36.2%,56.4%,74.9%,804,654,861,,,,,,,,,,
4,710,Unknown/Missing,59.7%,39.4%,20.4%,"1,324",457,234,,,,,,,,,,
5,093,Hispanic,1.2%,4.2%,8.5%,1,3,4,,,,,,,,,,
5,093,Non-Hispanic,29.3%,31.9%,68.1%,24,23,32,,,,,,,,,,
5,093,Unknown/Missing,69.5%,63.9%,23.4%,57,46,11,,,,,,,,,,
5,175,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
5,175,Non-Hispanic,22.2%,40.0%,86.0%,6,16,37,,,,,,,,,,
5,175,Unknown/Missing,77.8%,60.0%,14.0%,21,24,6,,,,,,,,,,
5,620,Hispanic,2.3%,0.0%,0.0%,1,0,0,,,,,,,,,,
5,620,Non-Hispanic,27.9%,28.6%,78.9%,12,12,15,,,,,,,,,,
5,620,Unknown/Missing,69.8%,71.4%,21.1%,30,30,4,,,,,,,,,,
5,800,Hispanic,1.7%,1.6%,0.3%,6,6,1,,,,,,,,,,
5,800,Non-Hispanic,28.1%,39.2%,84.6%,97,149,319,,,,,,,,,,
5,800,Unknown/Missing,70.1%,59.2%,15.1%,242,225,57,,,,,,,,,,
6,025,Hispanic,2.1%,0.0%,7.7%,1,0,2,,,,,,,,,,
