County,Pillars,Program,Subpopulation,TAYs,Age_range,Qualification,Description,Latitude,Longitude,Office,Source,Website,Available,Apply,.,address
Loudoun,Education,Great Expectations ,Foster Care,Yes ,17-24, affiliated with the Virginia Foster Care System,"Connecting them to community resources, scholarship opportunities and other support",38.840490000000003,-77.11513,Alexandria,Northern Virginia Community College,https://www.nvcc.edu/acp/expectations.html,"Loudoun, Fairfax",Online,"Donald L. Bisdorf Building (AA), Netherton Drive, John Adams, Washington Forest, Alexandria, Virginia, 22311, United States","Donald L. Bisdorf Building (AA), Netherton Drive, John Adams, Washington Forest, Alexandria, Virginia, 22311, United States"
Loudoun,Education,Education and Training Voucher (ETV) Program,Foster Care,Yes ,14-25,who either aged out of foster care or still in foster care," Funds can be applied toward, but not limited to, colleges, universities, community colleges, vocational programs, and one-year training institution",37.538339999999998,-77.43718,Richmond,Viriginia Department of Social Services,https://www.dss.virginia.gov/family/fc/etv.cgi,"Loudoun, Fairfax",Online,"Wytestone Plaza, South 8th Street, Shockoe Slip, Richmond, Virginia, 23298, United States","Wytestone Plaza, South 8th Street, Shockoe Slip, Richmond, Virginia, 23298, United States"
Loudoun,Education,Independent Living Program ,Foster Care,Yes ,14-21,who either aged out of foster care or still in foster care, Assists in developing the skills necessary to make the transition from foster care to independent living; Department of Social Services,37.538339999999998,-77.43718,Richmond,Viriginia Department of Social Services,https://www.dss.virginia.gov/family/fc/independent.cgi,"Loudoun, Fairfax",Online,"Wytestone Plaza, South 8th Street, Shockoe Slip, Richmond, Virginia, 23298, United States","Wytestone Plaza, South 8th Street, Shockoe Slip, Richmond, Virginia, 23298, United States"
Loudoun,Education,Practical Nursing Program,TAYs,No,18+, Must take TEAS exam prior ,"2-year program; total cost : $6,100",39.031359999999999,-77.52038,Ashburn,Loudoun County Public Schools ,https://www.lcps.org/Page/211221,Loudoun,Online,"21000, Education Court, Broadlands, Loudoun County, Virginia, 20148, United States","21000, Education Court, Broadlands, Loudoun County, Virginia, 20148, United States"
Loudoun,Education,Adult High School,TAYs,No,18+,Designed for individuals who need between one (1) and ten (10) credits to complete their Standard High School Diploma requirements,$300 per course ,39.015009999999997,-77.40099,Ashburn,Loudoun County Public Schools ,https://www.lcps.org/Page/211221,Loudoun,Online,"Park View High School, Old Vestal's Gap Road, Sterling, Loudoun County, Virginia, 20164-6607, United States","Park View High School, Old Vestal's Gap Road, Sterling, Loudoun County, Virginia, 20164-6607, United States"
Loudoun,Education,English Learners (EL) - Aprenda Ingles,TAYs,No,Any age ,None ,"Given in reading, writing, listening, and speaking;    Classes meet twice a week - 13 week; $170 total ",39.031359999999999,-77.52038,Ashburn,Loudoun County Public Schools ,https://www.lcps.org/Page/211221,Loudoun,Online,"21000, Education Court, Broadlands, Loudoun County, Virginia, 20148, United States","21000, Education Court, Broadlands, Loudoun County, Virginia, 20148, United States"
Loudoun,Education,GED Prep School,TAYs,No,Any age ,None ,Offers preparatory classes provides basic skills instruction to adults whose math and reading skills have been assessed at or below the GED® readiness level; Each session = $180 ,0,0,Online,Loudoun County Public Schools ,https://www.lcps.org/Page/211221,Loudoun,Online,Soul Buoy,Soul Buoy
Loudoun,Education,Adult Education Catalog,TAYs,No,Any age ,None ,Additonal courses that can be taken at Loudoun County Public Schools; prices range from $50 - $200 ,39.031359999999999,-77.52038,Online,Loudoun County Public Schools ,https://www.lcps.org/Page/211221,Loudoun,Online,"21000, Education Court, Broadlands, Loudoun County, Virginia, 20148, United States","21000, Education Court, Broadlands, Loudoun County, Virginia, 20148, United States"
Loudoun,Employment,Virginia Initiative for Education and Work (VIEW),TAYs,No,Under 18 ,TANF recipient,Offers case management and support services to Loudoun County residents,39.114306589999998,-77.53961718,Leesburg,Northern Virginia Family Service ,https://www.loudoun.gov/1597/VIEW-Vehicles-for-Change,"Loudoun, Fairfax","Loudoun, Fairfax","Shenandoah Exxon, 984, Edwards Ferry Road Northeast, Edwards Landing, Leesburg, Loudoun County, Virginia, 20176, United States","Shenandoah Exxon, 984, Edwards Ferry Road Northeast, Edwards Landing, Leesburg, Loudoun County, Virginia, 20176, United States"
Loudoun,Employment,Workforce Innovation and Opportunity Act,TAYs,Yes ,18-24,"Need IDs, past school records, Verification of Foster Care or receiving public assistance","1-on-1 training, resume building, interview prep, labor market review, etc. ; need verification of foster care or receiving public assistance ",39.114306589999998,-77.53961718,Leesburg,Rachael Tichacek,https://vcwnorthern.com/youth-programs/,"Loudoun, Fairfax",Online application for assessment and then contact Ziyoda Crew with additional documents.,"Shenandoah Exxon, 984, Edwards Ferry Road Northeast, Edwards Landing, Leesburg, Loudoun County, Virginia, 20176, United States","Shenandoah Exxon, 984, Edwards Ferry Road Northeast, Edwards Landing, Leesburg, Loudoun County, Virginia, 20176, United States"
