"","GEOID","NAME","variable","estimate","moe"
"1","51107","Loudoun County, Virginia","B15001_004",0,208
"2","51107","Loudoun County, Virginia","B15001_005",3138,1284
"3","51107","Loudoun County, Virginia","B15001_006",3545,1313
"4","51107","Loudoun County, Virginia","B15001_007",5528,1393
"5","51107","Loudoun County, Virginia","B15001_008",1268,673
"6","51107","Loudoun County, Virginia","B15001_009",2757,930
"7","51107","Loudoun County, Virginia","B15001_010",146,170
"8","51107","Loudoun County, Virginia","B15001_045",243,386
"9","51107","Loudoun County, Virginia","B15001_046",1743,638
"10","51107","Loudoun County, Virginia","B15001_047",2982,865
"11","51107","Loudoun County, Virginia","B15001_048",4570,1271
"12","51107","Loudoun County, Virginia","B15001_049",1314,901
"13","51107","Loudoun County, Virginia","B15001_050",4042,1046
"14","51107","Loudoun County, Virginia","B15001_051",200,250
