"","GEOID","NAME","variable","estimate","moe"
"1","51107","Loudoun County, Virginia","B17001A_010",352,192
"2","51107","Loudoun County, Virginia","B17001A_024",1219,332
"3","51107","Loudoun County, Virginia","B17001B_010",151,94
"4","51107","Loudoun County, Virginia","B17001B_024",132,92
"5","51107","Loudoun County, Virginia","B17001C_010",0,29
"6","51107","Loudoun County, Virginia","B17001C_024",9,15
"7","51107","Loudoun County, Virginia","B17001D_010",28,47
"8","51107","Loudoun County, Virginia","B17001D_024",136,93
"9","51107","Loudoun County, Virginia","B17001E_010",5,7
"10","51107","Loudoun County, Virginia","B17001E_024",0,29
"11","51107","Loudoun County, Virginia","B17001F_010",116,96
"12","51107","Loudoun County, Virginia","B17001F_024",44,44
