ID Race,Race,ID Year,Year,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
1,"White",2019,"2019","true","true","1191XX","Other managers",115905.08068165125,7111.180264790937,102105,7748.965206930033,1165,"Virginia","04000US51"
1,"White",2019,"2019","true","true","252020","Elementary & middle school teachers",47552.14392880882,2031.6961648339911,73717,6607.026448363772,812,"Virginia","04000US51"
1,"White",2019,"2019","true","true","412010","Cashiers",15660.650914149444,3292.305061586642,50320,5474.2258459103605,451,"Virginia","04000US51"
1,"White",2019,"2019","true","true","291141","Registered nurses",62202.719714454404,3537.501344223567,55893,5765.523111644434,605,"Virginia","04000US51"
1,"White",2019,"2019","true","true","533030","Driver/sales workers & truck drivers",40179.238176833445,2871.7544943541975,49606,5435.718159863016,492,"Virginia","04000US51"
2,"Black",2019,"2019","true","true","1191XX","Other managers",82581.22223057268,9616.140096791596,13306,2827.5361535681886,117,"Virginia","04000US51"
2,"Black",2019,"2019","true","true","252020","Elementary & middle school teachers",48554.97934538736,5377.356556717012,15154,3016.8380392236877,125,"Virginia","04000US51"
2,"Black",2019,"2019","true","true","412010","Cashiers",17535.031757939483,3350.0357914462284,23994,3792.0985716180394,169,"Virginia","04000US51"
2,"Black",2019,"2019","true","true","291141","Registered nurses",54783.93797575416,6437.0426378682905,17735,3262.644288341287,122,"Virginia","04000US51"
2,"Black",2019,"2019","true","true","533030","Driver/sales workers & truck drivers",41420.71132151491,5156.714349954896,24820,3856.436116666122,161,"Virginia","04000US51"
6,"Asian",2019,"2019","true","true","1191XX","Other managers",111367.7707362535,23695.960407196224,9657,2409.878024291391,99,"Virginia","04000US51"
6,"Asian",2019,"2019","true","true","252020","Elementary & middle school teachers",29580.854143019296,10018.941902243265,3524,1456.834062872856,37,"Virginia","04000US51"
6,"Asian",2019,"2019","true","true","412010","Cashiers",16427.811005568292,3574.1480167833424,6106,1917.064103214826,56,"Virginia","04000US51"
6,"Asian",2019,"2019","true","true","291141","Registered nurses",61655.40943895308,8299.908801253312,7183,2079.003836954218,65,"Virginia","04000US51"
6,"Asian",2019,"2019","true","true","533030","Driver/sales workers & truck drivers",21364.665666041277,7401.347941787595,2665,1267.0252607174227,22,"Virginia","04000US51"
8,"Other",2019,"2019","true","true","1191XX","Other managers",96234.55866355867,26716.75706588578,1287,880.6378646478479,8,"Virginia","04000US51"
